0,1.39546e-34,1.39546e-34,1.39546e-34,1.39546e-34,1.39546e-34,
1,0.00504815,0.00947006,0.00541056,0.00785087,0.00597037,
2,0.000897415,0.00455572,0.00870507,0.00509287,0.00165289,
3,0.000532544,0.00451622,0.015625,0.00129529,0.00183673,
4,0.0036,0.0120463,0.018595,0.00319967,0.00413265,
5,0.0177778,0.0140463,0.00669421,0.018392,0,
6,0.0277778,0.0290314,0.0049827,0.0152595,0,
7,0.0476033,0.0377333,0.0025,0.00694444,0,
8,0.0476033,0.0583025,0.000277778,0.00694444,0,
9,0.09,0.068225,0.0009,0.018225,0,
