0,0,0,0,0,0,0,0,0,0
0.896,0.898,0.903,0.905,0.906,0.9,0.899,0.9,0.884,0.906
0.819,0.825,0.819,0.803,0.806,0.807,0.794,0.811,0.836,0.803
0.724,0.732,0.706,0.737,0.738,0.727,0.727,0.719,0.745,0.697
0.65,0.687,0.658,0.624,0.66,0.643,0.66,0.654,0.656,0.652
0.573,0.577,0.581,0.591,0.563,0.597,0.6,0.572,0.609,0.596
0.558,0.538,0.534,0.519,0.517,0.508,0.507,0.534,0.556,0.516
0.469,0.493,0.468,0.483,0.479,0.505,0.475,0.469,0.47,0.497
0.448,0.427,0.422,0.445,0.458,0.425,0.427,0.422,0.446,0.405
0.395,0.417,0.393,0.412,0.372,0.374,0.369,0.396,0.365,0.386
