0,1,5,0,0,0,0,0
0.025,0.975,4.975,0.025,0.024375,0.024375,0.024375,0.024375
0.04925,0.95075,4.9508,0.04925,0.046824,0.046824,0.046824,0.046824
0.072773,0.92723,4.9272,0.072773,0.067477,0.067477,0.067477,0.067477
0.095589,0.90441,4.9044,0.095589,0.086452,0.086452,0.086452,0.086452
0.11772,0.88228,4.8823,0.11772,0.10386,0.10386,0.10386,0.10386
0.13919,0.86081,4.8608,0.13919,0.11982,0.11982,0.11982,0.11982
0.16001,0.83999,4.84,0.16001,0.13441,0.13441,0.13441,0.13441
0.18021,0.81979,4.8198,0.18021,0.14774,0.14774,0.14774,0.14774
0.19981,0.80019,4.8002,0.19981,0.15988,0.15988,0.15988,0.15988
0.21881,0.78119,4.7812,0.21881,0.17093,0.17093,0.17093,0.17093
0.23725,0.76275,4.7628,0.23725,0.18096,0.18096,0.18096,0.18096
0.25513,0.74487,4.7449,0.25513,0.19004,0.19004,0.19004,0.19004
0.27248,0.72752,4.7275,0.27248,0.19823,0.19823,0.19823,0.19823
0.2893,0.7107,4.7107,0.2893,0.20561,0.20561,0.20561,0.20561
0.30562,0.69438,4.6944,0.30562,0.21222,0.21222,0.21222,0.21222
0.32146,0.67854,4.6785,0.32146,0.21812,0.21812,0.21812,0.21812
0.33681,0.66319,4.6632,0.33681,0.22337,0.22337,0.22337,0.22337
0.35171,0.64829,4.6483,0.35171,0.22801,0.22801,0.22801,0.22801
0.36616,0.63384,4.6338,0.36616,0.23209,0.23209,0.23209,0.23209
0.38017,0.61983,4.6198,0.38017,0.23564,0.23564,0.23564,0.23564
0.39377,0.60623,4.6062,0.39377,0.23871,0.23871,0.23871,0.23871
0.40695,0.59305,4.593,0.40695,0.24134,0.24134,0.24134,0.24134
0.41974,0.58026,4.5803,0.41974,0.24356,0.24356,0.24356,0.24356
0.43215,0.56785,4.5678,0.43215,0.2454,0.2454,0.2454,0.2454
0.44419,0.55581,4.5558,0.44419,0.24688,0.24688,0.24688,0.24688
0.45586,0.54414,4.5441,0.45586,0.24805,0.24805,0.24805,0.24805
0.46719,0.53281,4.5328,0.46719,0.24892,0.24892,0.24892,0.24892
0.47817,0.52183,4.5218,0.47817,0.24952,0.24952,0.24952,0.24952
0.48883,0.51117,4.5112,0.48883,0.24988,0.24988,0.24988,0.24988
0.49916,0.50084,4.5008,0.49916,0.25,0.25,0.25,0.25
0.50919,0.49081,4.4908,0.50919,0.24992,0.24992,0.24992,0.24992
0.51891,0.48109,4.4811,0.51891,0.24964,0.24964,0.24964,0.24964
0.52834,0.47166,4.4717,0.52834,0.2492,0.2492,0.2492,0.2492
0.53749,0.46251,4.4625,0.53749,0.24859,0.24859,0.24859,0.24859
0.54637,0.45363,4.4536,0.54637,0.24785,0.24785,0.24785,0.24785
0.55498,0.44502,4.445,0.55498,0.24698,0.24698,0.24698,0.24698
0.56333,0.43667,4.4367,0.56333,0.24599,0.24599,0.24599,0.24599
0.57143,0.42857,4.4286,0.57143,0.2449,0.2449,0.2449,0.2449
0.57928,0.42072,4.4207,0.57928,0.24371,0.24371,0.24371,0.24371
0.58691,0.41309,4.4131,0.58691,0.24245,0.24245,0.24245,0.24245
0.5943,0.4057,4.4057,0.5943,0.24111,0.24111,0.24111,0.24111
0.60147,0.39853,4.3985,0.60147,0.2397,0.2397,0.2397,0.2397
0.60843,0.39157,4.3916,0.60843,0.23824,0.23824,0.23824,0.23824
0.61517,0.38483,4.3848,0.61517,0.23674,0.23674,0.23674,0.23674
0.62172,0.37828,4.3783,0.62172,0.23518,0.23518,0.23518,0.23518
0.62807,0.37193,4.3719,0.62807,0.2336,0.2336,0.2336,0.2336
0.63422,0.36578,4.3658,0.63422,0.23198,0.23198,0.23198,0.23198
0.6402,0.3598,4.3598,0.6402,0.23034,0.23034,0.23034,0.23034
0.64599,0.35401,4.354,0.64599,0.22869,0.22869,0.22869,0.22869
0.65161,0.34839,4.3484,0.65161,0.22701,0.22701,0.22701,0.22701
0.65706,0.34294,4.3429,0.65706,0.22533,0.22533,0.22533,0.22533
0.66235,0.33765,4.3376,0.66235,0.22364,0.22364,0.22364,0.22364
0.66748,0.33252,4.3325,0.66748,0.22195,0.22195,0.22195,0.22195
0.67246,0.32754,4.3275,0.67246,0.22026,0.22026,0.22026,0.22026
0.67728,0.32272,4.3227,0.67728,0.21857,0.21857,0.21857,0.21857
0.68196,0.31804,4.318,0.68196,0.21689,0.21689,0.21689,0.21689
0.68651,0.31349,4.3135,0.68651,0.21522,0.21522,0.21522,0.21522
0.69091,0.30909,4.3091,0.69091,0.21355,0.21355,0.21355,0.21355
0.69518,0.30482,4.3048,0.69518,0.2119,0.2119,0.2119,0.2119
0.69933,0.30067,4.3007,0.69933,0.21027,0.21027,0.21027,0.21027
0.70335,0.29665,4.2967,0.70335,0.20865,0.20865,0.20865,0.20865
0.70725,0.29275,4.2928,0.70725,0.20705,0.20705,0.20705,0.20705
0.71103,0.28897,4.289,0.71103,0.20547,0.20547,0.20547,0.20547
0.7147,0.2853,4.2853,0.7147,0.2039,0.2039,0.2039,0.2039
0.71826,0.28174,4.2817,0.71826,0.20236,0.20236,0.20236,0.20236
0.72171,0.27829,4.2783,0.72171,0.20084,0.20084,0.20084,0.20084
0.72506,0.27494,4.2749,0.72506,0.19935,0.19935,0.19935,0.19935
0.72831,0.27169,4.2717,0.72831,0.19788,0.19788,0.19788,0.19788
0.73146,0.26854,4.2685,0.73146,0.19643,0.19643,0.19643,0.19643
0.73451,0.26549,4.2655,0.73451,0.195,0.195,0.195,0.195
